Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HelloWeb,60,2,2,3,3,4,1,5,0.000%,12.38390,2.12,1.51
TOTAL,60,2,2,3,3,4,1,5,0.000%,12.38390,2.12,1.51
